NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N,HasSafetyRec,ReportType,OriginalPublishDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,RepGenFlag,DocketUrl,DocketPublishDate,Unnamed: 37
WPR15FA072,ACC,90554,2014-12-31 18:10:00+00:00,Benson,Arizona,United States,,N57AW,False,DirectorBrief,2016-10-24T04:00:00Z,Fatal,2,0,0,"The pilot’s continued visual flight into instrument meteorological conditions which resulted in an inflight collision with terrain. Contributing to the accident was the pilot’s inadequate preflight planning, during which he failed to identify forecasted deteriorating weather conditions along the route of flight.",,31.956111,-110.409446,BELL,206,HELI,,,FALSE,1,,POSI,091,Destroyed,IMC,N57AW LLC,Completed,False,https://data.ntsb.gov/Docket?ProjectID=90554,9/29/2016 8:59:00 PM,
WPR15TA071,ACC,90552,2014-12-31 14:30:00+00:00,Las Vegas,Nevada,United States,,N530KK,False,DirectorBrief,2017-10-02T04:00:00Z,Serious,0,2,0,A total loss of engine power during cruise flight for reasons that could not be determined because postaccident examination and testing did not reveal any anomalies that would have precluded normal operation.,,36.176387,-115.118888,MD HELICOPTER INC,369FF,HELI,KVGT,North Las Vegas,FALSE,1,,PUBL,PUBU,Substantial,VMC,LAS VEGAS METROPOLITAN POLICE DEPARTMENT,Completed,False,https://data.ntsb.gov/Docket?ProjectID=90552,8/17/2017 6:41:00 PM,
ERA15LA087,ACC,90550,2014-12-30 14:20:00+00:00,Fort Pierce,Florida,United States,,N419PE,False,DirectorBrief,2019-03-18T04:00:00Z,,0,0,0,"The inadequate modification of the airplane’s canopy latching mechanism, which resulted in the inadvertent opening of the canopy while on final approach to land and a subsequent loss of pitch control.",,27.497222,-80.372497,MDS FYING LLC,ZENITH ZODIAC CH 650,AIR,FPR,ST LUCIE COUNTY INTL,TRUE,1,,PERS,091,Substantial,VMC,MDS Flying LLC,Completed,False,https://data.ntsb.gov/Docket?ProjectID=90550,11/15/2018 1:29:00 PM,
DCA15WA212,INC,93277,2014-12-30 11:00:00+00:00,Lahore,,Pakistan,,AP-BJN,False,,,,0,0,0,,,31.508888,74.405281,BOEING,737,AIR,,,FALSE,,,,NUSC,Minor,,,,False,,,
CEN15LA091,ACC,90551,2014-12-30 09:25:00+00:00,Roswell,New Mexico,United States,,N950FE,False,DirectorBrief,2018-11-06T05:00:00Z,,0,0,0,"The pilot's failure to maintain adequate airspeed to compensate for icing on the airplane's wings and control surfaces during a circling approach, which resulted in an aerodynamic stall and impact with terrain.",,33.287223,-104.539169,CESSNA,208B,AIR,ROW,ROSWELL INTL AIR CENTER,FALSE,1,NSCH,,135,Substantial,IMC,BARON AVIATION SERVICES INC,Completed,False,https://data.ntsb.gov/Docket?ProjectID=90551,4/11/2018 2:42:00 PM,
CEN15FA090,ACC,90549,2014-12-30 05:29:00+00:00,Englewood,Colorado,United States,,N404MG,False,DirectorBrief,2016-02-08T05:00:00Z,Fatal,1,0,0,The loss of power to the right engine for reasons that could not be determined during postaccident examination and teardown and the pilot’s failure to properly configure the airplane for single-engine flight.,,39.595275,-104.82611,CESSNA,404,AIR,APA,CENTENNIAL,FALSE,2,,POSI,091,Substantial,VMC,KEY LIME AIR CORPORATION,Completed,False,https://data.ntsb.gov/Docket?ProjectID=90549,1/6/2016 7:42:00 PM,
CEN15FA092,ACC,90555,2014-12-30 04:30:00+00:00,Vaughn,New Mexico,United States,,N2558M,False,DirectorBrief,2015-09-08T04:00:00Z,Fatal,2,0,0,"The noninstrument-rated pilot’s continued flight into night instrument meteorological conditions, which resulted in his failure to maintain clearance from terrain.",,34.466388,-105.297225,PIPER,PA 28-181,AIR,,,FALSE,1,,PERS,091,Substantial,IMC,Pilot,Completed,False,https://data.ntsb.gov/Docket?ProjectID=90555,8/25/2015 4:44:00 PM,
WPR15IA080,INC,90584,2014-12-29 20:00:00+00:00,Phoenix,Arizona,United States,,N7041X,False,DirectorBrief,2017-10-31T04:00:00Z,,0,0,0,The failure of the fanshaft due to fatigue.,,33.307777,-111.655555,ROBINSON HELICOPTER,R22 BETA II,HELI,IWA,Phoenix-Mesa Gateway,FALSE,1,,INST,091,,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=90584,10/16/2017 7:07:00 PM,
CEN15CA093,ACC,90562,2014-12-29 16:20:00+00:00,Horseshoe Bay,Texas,United States,,N174CD,False,DirectorBrief,2015-01-22T05:00:00Z,,0,0,0,The helicopter's contact with the landing pad during a rejected landing.,,30.526388,-98.359169,ROBINSON HELICOPTER COMPANY,R44 II,HELI,DZB,HORSESHOE BAY RESORT,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=90562,1/8/2015 8:16:00 PM,
CEN15FA088,ACC,90545,2014-12-29 16:00:00+00:00,Port Clinton,Ohio,United States,,N222CP,False,DirectorBrief,2015-10-21T04:00:00Z,Fatal,1,0,0,The pilot's loss of control following a loss of left engine power for reasons that could not be determined because an examination of the airframe and engine did not reveal any preimpact abnormalities.,,41.520557,-82.871948,PIPER,PA 23-160,AIR,KPCW,"Erie-Ottawa Int'l, Carl Keller",FALSE,2,,PERS,091,Destroyed,VMC,EAGLE SUPPORT SERVICES LLC,Completed,False,https://data.ntsb.gov/Docket?ProjectID=90545,10/7/2015 12:51:00 PM,
