NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N,HasSafetyRec,ReportType,OriginalPublishDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,RepGenFlag,DocketUrl,DocketPublishDate,Unnamed: 37
ANC25LA014,ACC,199498,2024-12-31 14:30:00+00:00,Anchorage,Alaska,United States,,N3552E,False,DirectorBrief,2025-05-12T04:00:00Z,,0,0,0,The student pilot’s failure to maintain directional control of the airplane during touch-and-go operations on an ice-covered runway during her first solo flight.,,61.215714,-149.84268,CESSNA,172N,AIR,MRI,Merrill Field,FALSE,1,,INST,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=199498,5/12/2025 6:00:00 PM,
WPR25LA076,ACC,199524,2024-12-31 14:15:00+00:00,Los Alamos,New Mexico,United States,,N71074,False,DirectorBrief,2025-04-22T04:00:00Z,,0,0,0,The pilot’s failure to maintain airplane control while landing in gusty crosswind conditions.,,35.879686,-106.26868,CESSNA,182M,AIR,LAM,LOS ALAMOS,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=199524,4/22/2025 6:00:00 PM,
CEN25LA067,ACC,199496,2024-12-31 13:20:00+00:00,Galveston,Texas,United States,,N441HQ,False,DirectorBrief,2025-01-30T05:00:00Z,,0,0,0,"The pilot’s failure to maintain terrain clearance during the takeoff from the helipad in high and gusting wind conditions, that resulted in the right skid extension embedding in the artificial turf, and a subsequent dynamic rollover sequence.",,29.30454,-94.771416,ROBINSON HELICOPTER,R44,HELI,,Private Heliport,FALSE,1,,POSI,091,Substantial,VMC,"Galveston Helicopter Adventures, LLC",Completed,False,https://data.ntsb.gov/Docket?ProjectID=199496,1/30/2025 6:00:00 PM,
ERA25FA086,ACC,199492,2024-12-30 16:15:00+00:00,Peebles,Ohio,United States,,N6979T,False,DirectorBrief,,Fatal,1,0,0,,,38.994612,-83.426639,CESSNA,310,AIR,,,FALSE,2,,FERY,091,Substantial,VMC,,In work,False,,,
DCA25WA072,ACC,199476,2024-12-29 05:00:00+00:00,Muan County,,Republic Of Korea,,HL8088,False,,,Fatal,173,2,0,,,0.0,0.0,BOEING,737,,,,FALSE,,SCHD,,NUSC,,,Jeju Air,,False,,,
DCA25LA091,ACC,199575,2024-12-29 05:00:00+00:00,Gulf of America,Gulf of America,United States,,N647UA,False,DirectorBrief,2025-10-14T04:00:00Z,Serious,0,1,0,"An encounter with an area of clear air turbulence during cruise, which resulted in a serious injury to a flight attendant.",,20.947128,-91.073273,BOEING,767-322,AIR,,,FALSE,2,SCHD,,121,,VMC,UNITED AIRLINES INC,Completed,False,https://data.ntsb.gov/Docket?ProjectID=199575,10/14/2025 6:00:00 PM,
DCA25WA073,ACC,199477,2024-12-28 20:04:00+00:00,Oslo,,Norway,,PH-BXM,False,DirectorBrief,,,0,0,0,,,0.0,0.0,BOEING,737,,,,FALSE,,,,,,,KLM - Royal Dutch Airline,,False,,,
CEN25LA066,ACC,199491,2024-12-28 16:00:00+00:00,Monticello,Iowa,United States,,N478SA,False,DirectorBrief,2025-04-22T04:00:00Z,,0,0,0,The on-ground collision with a deer on the runway during the landing roll.,,42.220362,-91.163298,DIAMOND AIRCRAFT IND INC,DA 40 NG,AIR,MXO,Monticello Regional,FALSE,1,,PERS,091,Substantial,VMC,M U D Y PROPERTIES LLC,Completed,False,https://data.ntsb.gov/Docket?ProjectID=199491,4/22/2025 6:00:00 PM,
CEN25LA064,ACC,199479,2024-12-28 14:25:00+00:00,Parsons,Kansas,United States,,N719LB,False,DirectorBrief,2025-04-22T04:00:00Z,Serious,0,1,0,The pilot’s failure to maintain clearance from power lines while on final approach to land.,,37.2983,-95.26311,Cozy,Cub,AIR,39KS,Papas Dream Airport,TRUE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=199479,4/22/2025 6:00:00 PM,
ENG25WA029,INC,200045,2024-12-28 05:00:00+00:00,Oslo,,Norway,,PH-BXM,False,,,,0,0,0,,,0.0,0.0,BOEING,737,AIR,,,FALSE,,,,NUSC,Minor,,,,False,,,
CEN25LA065,ACC,199488,2024-12-27 23:45:00+00:00,New Braunfels,Texas,United States,,N5263W,False,DirectorBrief,2025-01-30T05:00:00Z,Serious,0,2,1,The pilot’s improper in-flight fuel planning which resulted in a total loss of engine power due to fuel starvation and a subsequent off-field landing on rough terrain.,,29.702707,-98.042741,PIPER,PA-28,AIR,KBAZ,,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=199488,1/30/2025 6:00:00 PM,
WPR25LA071,ACC,199497,2024-12-27 22:03:00+00:00,Gallup,New Mexico,United States,,N505SW,False,DirectorBrief,2025-11-05T05:00:00Z,,0,0,0,"The pilot’s improper fuel management, which resulted in a total loss of engine power.",,35.512773,-108.772,CESSNA,T210L,AIR,GUP,Gallup Municipal Airport,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=199497,11/5/2025 6:00:00 PM,
ERA25LA094,ACC,199523,2024-12-27 19:30:00+00:00,Florence,South Carolina,United States,,N458K,False,DirectorBrief,2025-07-03T04:00:00Z,,0,0,0,The pilot’s failure to follow the emergency procedures and extend the landing gear manually after the landing gear did not initially extend normally.,,34.18673,-79.718722,BEECH,58,AIR,FLO,FLORENCE RGNL,FALSE,2,,PERS,091,Substantial,IMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=199523,7/3/2025 5:00:00 PM,
CEN25LA074,ACC,199531,2024-12-27 14:09:00+00:00,Pagosa Springs,Colorado,United States,,N753MB,False,DirectorBrief,,,0,0,0,,,37.297666,-107.04972,CESSNA,560,AIR,PSO,STEVENS FLD,FALSE,2,,PERS,091,Substantial,IMC,Metroplex Flight Services,In work,False,,,
GAA25WA050,ACC,199503,2024-12-27 14:05:00+00:00,Pucallpa,,Peru,,OB-2221P,False,,,,0,0,0,,,0.0,0.0,Beechcraft,E90,AIR,SPCL,,FALSE,,,,NUSN,Substantial,,,,False,,,
ERA25LA084,ACC,199481,2024-12-26 19:57:00+00:00,Melbourne,Florida,United States,,N76NN,False,DirectorBrief,2025-10-30T04:00:00Z,Serious,0,1,1,The pilot’s inadequate preflight fuel planning which resulted in a total loss of engine power due to fuel exhaustion and subsequent forced landing.,,28.115083,-80.706661,BEECH,BE-76,AIR,MLB,MELBOURNE ORLANDO INTL,FALSE,2,,INST,091,Substantial,VMC,MELBOURNE FLIGHT TRAINING LLC,Completed,False,https://data.ntsb.gov/Docket?ProjectID=199481,12/11/2025 10:00:00 PM,
DCA25FA071,ACC,199474,2024-12-26 14:35:00+00:00,Henderson,Nevada,United States,,N958AK,False,DirectorBrief,,Serious,0,2,1,,,36.026101,-114.93117,BOEING,737,AIR,,,FALSE,2,SCHD,,121,,VMC,ALASKA AIRLINES INC,In work,False,,,
