NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N,HasSafetyRec,ReportType,OriginalPublishDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,RepGenFlag,DocketUrl,DocketPublishDate,Unnamed: 37
ANC26LA028,ACC,202871,2026-04-22 11:30:00+00:00,Palmer,Alaska,United States,,N4136E,False,DirectorBrief,,,0,0,0,,,0.0,0.0,PIPER,PA-18-150,,,,FALSE,,,PERS,091,,VMC,,In work,False,,,
WPR26LA164,ACC,202856,2026-04-20 11:20:00+00:00,Pacoima,California,United States,,N2126F,False,DirectorBrief,,,0,0,0,,,0.0,0.0,CESSNA,172S,,,,FALSE,,,,,,,VISTA AVIATION INC,In work,False,,,
GAA26WA167,ACC,202862,2026-04-18 16:00:00+00:00,Zborowo,,Poland,,D-EUGA,False,,,,0,0,0,,,52.36206,16.63872,SOCATA,TB9,AIR,EPZB,Zborowo Airfield,FALSE,1,,,NUSN,Substantial,VMC,,,False,,,
WPR26LA163,ACC,202855,2026-04-18 13:30:00+00:00,Auburn,Washington,United States,,N741TJ,False,DirectorBrief,,,0,0,0,,,0.0,0.0,PIPER,PA30,,,,FALSE,,,PERS,091,,VMC,,In work,False,,,
CEN26LA170,ACC,202850,2026-04-17 14:07:00+00:00,Ardmore,Oklahoma,United States,,N9262Y,False,DirectorBrief,,Minor,0,0,1,,,34.146972,-97.122667,PIPER,PA 31P 350,AIR,1F0,Ardmore Downtown,FALSE,2,,PERS,091,Substantial,VMC,TWIN STAR MONTANA LLC,In work,False,,,
CEN26LA168,ACC,202839,2026-04-17 12:15:00+00:00,Mount Blanco,Texas,United States,,N445JS,False,DirectorBrief,,,0,0,0,,,0.0,0.0,ROBINSON HELICOPTER COMPANY,R44,,,,FALSE,,,AOBV,091,,,AG RANCH SERVICES LLC,In work,False,,,
WPR26LA165,ACC,202857,2026-04-17 11:30:00+00:00,Bend,Oregon,United States,,N7541B,False,DirectorBrief,,,0,0,0,,,0.0,0.0,AERONCA,7FC,,,,FALSE,,,,,,,,In work,False,,,
WPR26LA162,ACC,202854,2026-04-17 10:00:00+00:00,La Cienega,New Mexico,United States,,N654MC,False,DirectorBrief,,,0,0,0,,,0.0,0.0,CIRRUS DESIGN CORP,SR22,,,,FALSE,,,,,,VMC,,In work,False,,,
GAA26WA168,ACC,202864,2026-04-17 04:00:00+00:00,Munda,,Solomon Islands,,H4-HSA,False,,,,0,0,0,,,0.0,0.0,BELL,222,,,,FALSE,,,,,,,,,False,,,
CEN26LA167,ACC,202838,2026-04-16 23:43:00+00:00,Topeka,Kansas,United States,,N84794,False,DirectorBrief,,,0,0,0,,,39.068823,-95.622376,CESSNA,172,AIR,TOP,Philip Billard Municipal Airport,FALSE,1,,INST,091,Substantial,,Top Aviation Services,In work,False,,,
ERA26FA177,ACC,202833,2026-04-16 10:30:00+00:00,O'Brien,Florida,United States,,N613SA,False,DirectorBrief,,Fatal,1,0,0,,,0.0,0.0,RAJCHL VLADIMIR,AIRPLANE SWING 06,,,,FALSE,,,PERS,091,,VMC,,In work,False,,,
ANC26LA026,ACC,202853,2026-04-16 10:15:00+00:00,Juneau,Alaska,United States,,N93021,False,DirectorBrief,,,0,0,0,,,0.0,0.0,CESSNA,U206F,,,,FALSE,,,BUS,091,,VMC,WARD AIR INC,In work,False,,,
GAA26WA166,INC,202846,2026-04-16 04:00:00+00:00,Narita,,Japan,,JA20YA,False,,,,0,0,0,,,0.0,0.0,HONDA,HA420,,,,FALSE,,,,,,,,,False,,,
DCA26LA185,ACC,202835,2026-04-15 21:30:00+00:00,East Providence,Rhode Island,United States,,N8787K,False,DirectorBrief,,Serious,0,1,1,,,41.739974,-71.367376,BOEING,737-8,AIR,,,FALSE,2,SCHD,,121,,,SOUTHWEST AIRLINES CO,In work,False,,,
ERA26LA176,ACC,202832,2026-04-15 10:25:00+00:00,Levittown,Puerto Rico,United States,,558BA,False,DirectorBrief,,,0,0,0,,,0.0,0.0,ICON,A5,,,,FALSE,,,PERS,,,VMC,,In work,False,,,
CEN26LA165,ACC,202824,2026-04-14 10:19:00+00:00,Peyton,Colorado,United States,,N495LP,False,DirectorBrief,,,0,0,0,,,0.0,0.0,PIPISTREL D O O,ALPHA TRAINER,,,,FALSE,,,,,,,,In work,False,,,
CEN26LA164,ACC,202818,2026-04-13 19:19:00+00:00,Corpus Christi,Texas,United States,,N317HM,False,DirectorBrief,,Serious,0,2,0,,,27.78495,-97.52173,PIPER,PA-28-180,AIR,CRP,Corpus Christi International,FALSE,1,,INST,091,Destroyed,VMC,SPLENDID AVIATION-VICTORIA LLC,In work,False,,,
ERA26LA174,ACC,202830,2026-04-13 17:30:00+00:00,The Rock,Georgia,United States,,N63405,False,DirectorBrief,,,0,0,0,,,32.955645,-84.26503,CESSNA,172S,AIR,OPN,THOMASTON-UPSON COUNTY,FALSE,1,,INST,091,Substantial,VMC,CHRISTIANSEN AVIATION LLC,In work,False,,,
WPR26LA159,ACC,202836,2026-04-13 14:32:00+00:00,Fullerton,California,United States,,N285AH,False,DirectorBrief,,Minor,0,0,1,,,0.0,0.0,CIRRUS DESIGN CORP,SR22T,,,,FALSE,,,PERS,091,,VMC,OSI AVIATION LLC,In work,False,,,
ERA26FA165,ACC,202813,2026-04-13 13:10:00+00:00,New Market,Tennessee,United States,,N2063G,False,DirectorBrief,,Fatal,2,0,0,,,0.0,0.0,BEECH,58,,,,FALSE,,,INST,091,,VMC,,In work,False,,,
WPR26LA158,ACC,202810,2026-04-13 10:51:00+00:00,WILLIAMS,California,United States,,N77UK,False,DirectorBrief,,Minor,0,0,1,,,0.0,0.0,ALEXANDER SCHLEICHER GMBH & CO,ASH 31 MI,,,,FALSE,,,,,,,,In work,False,,,
WPR26LA153,ACC,202804,2026-04-12 14:23:00+00:00,Phoenix,Arizona,United States,,N6518K,False,DirectorBrief,,,0,0,0,,,0.0,0.0,REPUBLIC,RC-3,,,,FALSE,,,,091,,,,In work,False,,,
ERA26LA167,ACC,202815,2026-04-11 17:27:00+00:00,Marathon,Florida,United States,,"N529ND, N699BW",False,DirectorBrief,,,0,0,0,,,0.0,0.0,"CESSNA, RAYTHEON AIRCRAFT COMPANY","172S, B200",",",,,"FALSE,FALSE",",",,",","091,",",",,"PHOENIX EAST AVIATION LLC,BEECH TRANSPORT LLC",In work,False,,,
ERA26LA172,ACC,202823,2026-04-11 13:12:00+00:00,Gulf of America,,United States,,N708KA,False,DirectorBrief,,,0,0,0,,,0.0,0.0,DEHAVILLAND,DHC-3,,,,FALSE,,,,,,VMC,Key West Seaplane Adventures,In work,False,,,
ERA26LA173,ACC,202825,2026-04-11 12:30:00+00:00,Stevensville,Maryland,United States,,N38020,False,DirectorBrief,,,0,0,0,,,38.976067,-76.329039,BEECH,58,AIR,W29,Bay Bridge Airport,FALSE,2,,PERS,091,Substantial,VMC,PARDUE HINES AVIATION LLC,In work,False,,,
ERA26LA170,ACC,202820,2026-04-10 20:22:00+00:00,Jacksonville,Florida,United States,,N314JP,False,DirectorBrief,,,0,0,0,,,30.337904,-81.514333,BELL,407,HELI,CRG,JACKSONVILLE EXEC AT CRAIG,FALSE,1,,INST,PUBU,Substantial,VMC,CITY OF JACKSONVILLE,In work,False,,,
GAA26WA165,INC,202834,2026-04-10 12:45:00+00:00,"Goiânia,",,Brazil,,PT-BKI,False,,,Minor,0,0,2,,,0.0,0.0,PIPER,PA30,,,,FALSE,,,,,,,,,False,,,
GAA26WA164,ACC,202829,2026-04-10 12:30:00+00:00,Imbaimadai,,Guyana,,8R-YAC,False,,,Fatal,1,0,0,,,0.0,0.0,CESSNA,208,,,,FALSE,,,,,,,,,False,,,
